OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,Karamoja,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,Total_Production,Food_per_Person,Yield_Gap,Risk_Level
263,KACHERI,KOTIDO,17244,1067176155,Y,354.2074107,1137.467019,7023.533691,6434.342449,528.1242294,1328652.2052874998,600723.8929,1929376.0981874997,111.88680690022615,-783.2596082999999,Lower Risk
264,KOTIDO,KOTIDO,52771,597575188,Y,367.8905232,1162.996687,13587.99076,12455.59264,824.7670809,1328652.2052874998,959201.3825,2287853.5877874997,43.354372435381165,-795.1061638000001,Lower Risk
265,KOTIDO TOWN COUNCIL,KOTIDO,27389,23972401,Y,369.3141771,1167.005832,1656.531855,1520.322052,8.561643817,561476.4874,9991.488268,571467.9756679999,20.864871870751028,-797.6916549,High Risk
266,NAKAPERIMORU,KOTIDO,38775,419111591,Y,283.3245689,852.3665784,7087.823334,6761.488901,45.72171184,1328652.2052874998,38971.65908,1367623.8643674997,35.270763749000636,-569.0420095,Lower Risk
267,PANYANGARA,KOTIDO,65704,880955930,Y,373.8369255,1283.859882,10398.24939,10111.19813,172.6119139,1328652.2052874998,221609.5114,1550261.7166874998,23.59463223985602,-910.0229565,High Risk
268,RENGEN,KOTIDO,41273,652744859,Y,271.1858431,1047.180128,13278.52043,12964.49973,171.5857036,1328652.2052874998,179681.139,1508333.3442874998,36.54528006899183,-775.9942848999999,Lower Risk
591,KAABONG  EAST,KAABONG,42221,60801942,Y,160.5885252,650.1235648,1021.31699,1004.647534,15.66040911,161334.8658,10181.201,171516.0668,4.062340228796097,-489.53503960000006,High Risk
592,KAABONG TOWN COUNCIL,KAABONG,38857,13071455,Y,212.210703,1229.213444,175.0805266,156.5038884,18.52618562,33211.80017,22772.63643,55984.4366,1.4407812389016137,-1017.002741,High Risk
593,KAABONG WEST,KAABONG,41454,67612362,Y,208.0405184,1056.416068,967.3367266,910.2541223,56.27535518,189369.7394,59450.18942,248819.92882,6.0023141028610025,-848.3755496,High Risk
594,KALAPATA,KAABONG,99203,223116860,Y,209.8093519,633.4231821,2834.349905,2501.368282,331.2257949,524810.4582,209806.097,734616.5552000001,7.405184875457396,-423.61383019999994,High Risk
